profession,title,link,date,location,workload,emp_type,company
python%20developer,Formateur / développeur Python,https://www.jobs.ch/en/vacancies/detail/91c1a272-aabc-4a3e-99cf-3485e6824882/,Last year,Vaumarcus,100%,Unlimited employment,Excelsia S.A.
python%20developer,Continuously evaluate and implement new technologies and best practices to improve the user experience and platform performance while ensuring a great developer experience.,https://www.jobs.ch/en/vacancies/detail/ce25e172-d888-45f6-b063-a42b4ef232eb/,Last quarter,Zürich,100%,Unlimited employment,OnlineDoctor AG
python%20developer,SAP BW Developer for Finance Applications 80% - 100% (f/m/d) - (Contract through our external payroll partner with immediate start until 31.12.2025 with possible extension),https://www.jobs.ch/en/vacancies/detail/1ebe5636-5879-42e9-a026-804ae13f44b1/,2 months ago,Zürich,80 – 100%,Bank Julius Bär & Co. AG,Not specified
python%20developer,"Schmid & Partner Engineering AG (SPEAG), the leading developer and manufacturer of advanced, efficient, and reliable test equipment for the evaluation of near- and far-field electromagnetic (EM) radiation, EM materials, and their applications, is currently seeking applicants for the post as",https://www.jobs.ch/en/vacancies/detail/87671f7e-41aa-4706-ac1b-a063c4c1af59/,Last year,Zürich,100%,Unlimited employment,Schmid & Partner Engineering AG
python%20developer,Senior Software Development Engineer,https://www.jobs.ch/en/vacancies/detail/a2ff7026-a1fd-4dae-9153-e88868442fc5/,2 months ago,Staefa,100%,Unlimited employment,Sonova AG
python%20developer,R&D Intern Process Development in Sensor Testing,https://www.jobs.ch/en/vacancies/detail/cf3360b7-be58-47e9-965b-10742f06c5a4/,2 months ago,Stäfa,100%,Sensirion AG,Not specified
python%20developer,Salesforce & Data Platform Architect (80%),https://www.jobs.ch/en/vacancies/detail/733afcc8-a402-46ba-9442-fd525360ce5e/,2 months ago,Zurich,80%,Unlimited employment,WWF Schweiz
python%20developer,Prototyping Technician III,https://www.jobs.ch/en/vacancies/detail/0facc3a0-0e97-4f05-996f-20cce58c68fa/,3 weeks ago,Zurich,100%,Unlimited employment,Qualitest Group Switzerland AG
data%20engineer,Data & AI Lakehouse Engineer 80-100% m/w/d,https://www.jobs.ch/en/vacancies/detail/b71783f1-b245-4af4-a3ca-774dfc83138e/,Last week,Ibach-Schwyz,80 – 100%,Unlimited employment,Victorinox AG
data%20engineer,Professional / Senior ICT System Engineer (m/w/d),https://www.jobs.ch/en/vacancies/detail/cd11ad13-4b1c-4dca-8df4-be732fc09fed/,3 days ago,Liestal,80 – 100%,Unlimited employment,EBL (Genossenschaft Elektra Baselland)
