profession,title,link,date,location,workload,emp_type,company,latitude,longitude
python developer,Developer Advocate,https://www.jobs.ch/en/vacancies/detail/0e63e44d-6ef7-440e-b4a7-12381da38603/,3 months ago,remote deu,100%,SonarSource SA,Not specified,,
python developer,Java developer,https://www.jobs.ch/en/vacancies/detail/91208553-0c56-4bdf-8a2a-98269972ce5c/,Last year,geneva,100%,Unlimited employment,FinTeX Finance and Technology eXpertise SA,46.2017559,6.1466014
python developer,PL/SQL Developer,https://www.jobs.ch/en/vacancies/detail/01e67170-ea77-4613-977f-c66b2f494a98/,Last quarter,geneva,100%,Unlimited employment,Vitol SA,46.2017559,6.1466014
python developer,Software Developer,https://www.jobs.ch/en/vacancies/detail/3ff63eb4-2730-4ae8-b2ef-75d3642b44f3/,2 months ago,aachen,100%,Unlimited employment,Varo Refining (Cressier) SA,47.4806385,9.4298253
python developer,Senior Backend Developer,https://www.jobs.ch/en/vacancies/detail/303f4b92-65ab-4011-b1db-6abcaeef0aa2/,4 quarters ago,plan,100%,Unlimited employment,Alohi SA,46.9566215,10.3850656
python developer,Data DevOps Engineer,https://www.jobs.ch/en/vacancies/detail/07957a29-fbdc-411f-a847-6af737f10794/,12 hours ago,geneva,100%,Banque Pictet & Cie SA,Not specified,46.2017559,6.1466014
python developer,Senior BI Developer (w/m),https://www.jobs.ch/en/vacancies/detail/7784d2fa-0274-4bfa-8197-8427f0df9034/,2 weeks ago,bern,80 – 100%,Unlimited employment,Galenica AG,46.9484742,7.4521749
python developer,Algorithm Developer Intern,https://www.jobs.ch/en/vacancies/detail/6421edcc-b3ea-41d5-9d53-0b802ab751b1/,3 weeks ago,rolle,100%,Unlimited employment,Sophia Genetics SA,46.4601563,6.3380469
python developer,"Backend Developer (Telephony, Faxing)",https://www.jobs.ch/en/vacancies/detail/88eb2cfe-f3c5-4e4a-bdc6-18877f1ad830/,3 months ago,plan-les-ouates,100%,Unlimited employment,Alohi SA,46.1683113,6.117887
python developer,Agile Developer in Test,https://www.jobs.ch/en/vacancies/detail/cbbb08d6-52ab-4bab-93a4-56731d1bc8fa/,Last year,zürich,100%,Unlimited employment,ti&m AG,47.3744489,8.5410422
python developer,Senior BI Developer (w/m) 80%-100%,https://www.jobs.ch/en/vacancies/detail/2b17a6d3-1898-40b6-9223-2e879dabde72/,2 weeks ago,bern,80 – 100%,Galenica AG,Not specified,46.9484742,7.4521749
